interest in, ~에 대한 관심
staff productivity,직원 생산성
attendance records, 출근기록
compliance with, ~에 대한 준수
confidence in, ~에 대한 신임
baggage allowance, 수하물 허용치
customer survey, 고객 여론 조사
admission fee, 입장료/입회(입학)금
contingency plan, 비상 대책
in advace, 미리/먼저
at the latest, 늦어도
accoint for, (~비율을) 차지하다
specialize in, ~을 전문적으로 하다
collaborate on/with, 협력하다
go on vacation, 휴가를 가다
physical examination, 신체검사
would like to 부정사, ~하기를 원한다
by 재귀대명사, 혼자서
on 소유격 own, 혼자서
deal with, 다루다/처리하다
frequently, 빈번하게
examine, 검토하다
environmental, 환경의
effects, 영향
serveral, 몇몇의(3개이상)
sell + 누구에게 + 무엇을, 누구에게 무엇을 팔다
some, 몇몇개(긍정)
others, 다른몇개
the others, 남은 사람들
one, 하나
Another, 또다른 하나
any, 몇몇(부정문)
real estate, 부동산
technicain, 기술자
technical, 기술적인
equipment, 장비
identify, 확인하다/찾다
identification, 신분/신분증
widespread, 광범위한
criticism, 비판
criticize, 비판하다
summary, 요약
summarize, 요약하다
rejected, 거절하다
rejection, 거절
approve, 승인하다
approval, 승인
evaluate, 평가하다
As soon as, ~하자마자
representative, 직원대표
a paper, 신문
referrences, 언급/참조
refer to+명사, 언급하다/~을 참고하다
ask 누구 to부정사, 누구에게 to 부정사를 요청하다
necessary, 필수적인
repersent, 대표하다
defective, 결함이 있는
a lot of, 많은
a number of, 많은
the number of 명사, ~의 수는
thorough, 철저한/상세한
가산-source, 근원/출처
가산-result, 결과
가산-discount,할인
가산-refund,환불
가산-workplace,직장
가산-statement,보고서/명세서
가산-standard, 표준/기준
가산 앞 수량표현 [단수 명사] - each,각각의
가산 앞 수량표현 [단수 명사] - every,모든
가산 앞 수량표현 [단수 명사] - another,또다른
가산 앞 수량표현 [복수 명사] - many,많은
가산 앞 수량표현 [복수 명사] - a few, 몇개의
가산 앞 수량표현 [복수 명사] - few,거의없는
가산 앞 수량표현 [복수 명사] - fewer,더 적은
가산 앞 수량표현 [복수 명사] - several,몇몇의
가산 앞 수량표현 [복수 명사] - one of the, ~중 하나
가산 앞 수량표현 [복수 명사] - both, 둘다의
가산 앞 수량표현 [복수 명사] - a number of, 많은
가산 앞 수량표현 [복수 명사] - a variety of,다양한
불가산 명사 - access, 접근/출입
불가산 명사 - advice, 충고/조언
불가산 명사 - baggage, 초과 수하물
불가산 명사 - furniture,가구
불가산 명사 - equipment, 장비
불가산 명사 - information, 정보
불가산 명사 - luggage,수하물
불가산 명사 - news, 뉴스
불가산 명사 - consent, 동의
불가산 명사 - stationery, 문구류
불가산 앞 수량표현 - much,많은
불가산 앞 수량표현 - little,거의없는
불가산 앞 수량표현 - a little,적은
불가산 앞 수량표현 - less,더 적은
