loyal customers, 단골 고객
regulates, 규제하다
발생하다 [Vi],happen/ occur/ take place
오고 가다[Vi], go/ come/ commute/ arrive
보이다 [Vi], look/ seem/ appear
남다/있다 [Vi], remain/ stay/ exist
be engaged in, ~에 종사하다/ 관여하다 [수동태]
be interested in, ~에 관심이 있다 [수동태]
be involved in, ~에 관련되다 [수동태]
be surprised at, ~에 놀라다 [수동태]
be shocked at, ~에 충격을 받다 [수동태]
be frightened at, ~에 놀라다 [수동태]
be amazed at, ~에 놀라다(긍정) [수동태]
be dedicated to, ~에 헌신하다 [수동태]
be devoted to, ~에 헌신하다 [수동태]
be committed to, ~에 헌신하다 [수동태]
be exposed to, ~에 노출되다 [수동태]
be related to, ~과 관계가 있다 [수동태]
be (dis)satisfied with, ~d에 불만족 하다 [수동태]
be pleased with, ~에 기뻐하다 [수동태]
be equipped with, ~을 갖추고 있다 [수동태]
be filled with, ~으로 채워져 있따 [수동태]
be crowded with, ~으로 붐비다 [수동태]
passengers, 승객들
sppokesman, 대변인
inconvenience, 불편함
collection, 모음
everyone, 예외 없이
without exception, 예외 없이
worked hard, 예외 없이
objection, 반대
reminder, 상기시키는 것
thought, 생각
complaint, 불평 불만
feasibility, 실현 가능성
industry, 산업
rivalry, 경쟁
priorities, 최우선 과제 
responsibilities, 책임
facilities, 시설
income,수입
inconsistency, 불일치
inconvenience, 불편함
attend, 참석하다 [Vt]
explain, 설명하다 [Vt]
answer, 응답하다 [Vt]
tell, 말하다 [Vt]
hear, 듣다 [Vt]
reach, 도착하다 [Vt]
discuss, 논의하다 [Vt]
handle, 다루다/처리하다 [Vt]
oppose, 반대하다 [Vt]
participate in, 참석하다 [Vi]
account for, 설명하다 [Vi]
respond to, 응답하다 [Vi]
speak to/with, 말하다 [Vi]
listen to, 듣다 [Vi]
arrive at/in, 도착하다 [Vi]
talk about, 논의하다 [Vi]
deal with, 다루다/처리하다 [Vi]
object to, 반대하다  [Vi]
