be pleased to 부정사,   ~하게되어 기쁘다
be careful of to 부정사,  주의하다
active, 활동적인
be dedicated to 명사, ~에 전념하다, ~ 헌신하다
be aware of, ~을 안다/ ~을 인지하다
be advantageous for, ~에 이롭다
take advantage of, ~에 이용하다
be concerned about, ~에 대해 걱정하다
be allowed to 부정사, ~을 해도 된다고 허락되다
be located at, ~에 있다 (작은장소)
be located in, ~에 있다 (큰장소)
eligible for, 자격이 있는
capable of, ~할 수 있는
comparable to, ~에 필적하는
financial, 재정의 금융의
performance, 실적
dismiss, 해고하다
extensive, 폭넓은
experience, 경험
president, 회장
applicant, 지원자
attend, 참석하다
discuss, 논의하다
detailed, 상세한
postpone, 연기하다
material, 자료
confirmation, 확정
agree, 동의하다
benefit from, 혜택을 받다
proper, 적절한
prevent A from B, B로부터 A를 예방하다
injure, 부상입히다
immediately, 즉시
signed up for, 등록하다
despite, ~임에도 불구하고
be responsive to, ~에 대응하다
be responsible for, ~에 책임이 있다
at no cost, 무료로
in effect, 시행중인
in detail, 상세하게
detailed, 상세한
at all times, 항상
at times, 때때로
on times, 정시에
aside from, ~이외에/제외하고
on schedule, 예정대로
behind schedule, 예정보다 늦게
a head of schedule, 예정보다 일찍
as a result, ~로 인해
upon request, 요청하면/ 요청하자마자
upon delivery, 배송시에/ 배송하자마자
upon arrival, 도착하면/ 도착하자마자
rise, (물가등이) 오르다
rose, rise 과거형
dramatically, 급격히/ 극적으로
planning stage, 기획/단계
accident, 사고
patient, 환자
evaluation, 평가
