traffic light, 신호등
supervise, 감독하다
numerous, 수많은
took, 꺼내다 
put into, 안에 넣다
offer, 제공하다
resign, 사임하다
step down, 은퇴
retiring, 은퇴
advised, 조언을 하다
reviewed, 검토하다
reached, 도달하다
entered, 들어갔다/적어넣다
purchased, 구매했다
prolong, 연장하다 (+the life)
confirm, 확인해 주다
complete, 완료하다/ 완성하다 +the report
hire, 고용하다
architect, 건축가
distribute, 분배하다
contributed, 기여했다
attribute, 공으로 돌리다/탓을하다
secure, 획득하다
purchase, 구매하다
replace A with B, A를 B와 교체하다
prolong the life, 수명을 연장하다
endure,  견디다
broaden, 넓어지다
admit, 입장을 허가하다
difficult, 어려운
disagreement, 불일치
deal, 거래/합의
clothing, 의류
replace, 교체하다
operating, 조작의, 운전의
making a copy/copying/photocopying 복사하다
working on, 어떠한 작업중
unloading, (짐을)내리다
facing, 마주보다 (사람/사물 구분없음)
reaching for, ~을 향해 손을 뻗다
microscope, 현미경
adjust, 조정하다
microwave, 전자레인지
climbing, 오르고있다(등산 등)
tool, 도구
using, 사용
walking into/entering , 들어가는중
colleague, 동료
laboratory, 실험실
examining, 검토하다/~을 자세히 모다
cash register, 현금 기계/포스기
counter, 계산대
ladder, 사다리
stairs/steps/stairway/staircase, 계단
browsing, 쇼핑중
handing out. (문서 등을)나눠주다
taking notes, 필기
picking up, 집어 들다(집어드는중)
getiing up, 일어나다(일어나는중)
stacking, 쌓고있다
oranizing/arranging, 정리하다
taking off, 벗으려는 동작
trying on, 입으려는 동작
grass, 잔디
arranged, 마련하다/정리하다
vase, 꽃병
piled up, 쌓여있다
in a row, 일렬로
dock, 부둣가/정박되어있다
sailing, 항해하고있다
overlook, (사물이 사물을) 내려다보다
paved, 포장된
pavement/sidewalk, (포장된)인도
sailors, 선원
pillow,베개
hanging, 사람이거는동작/
reflecte, (물에) 반사되다
intersection, 교차로
lined up,줄을서다
pouring, 퍼붓는 듯한
boarding, ~을 타다(교통수단 모두 가능)
wheelbarrow, 외바퀴 수레
laid out, 차려져 있다
merchandise, 상품
shelves, 선반
browsing/selecting/reaching for, 쇼핑하는 중
making a purchase/paying for a purchase, 구매하는 중
placing A onto B, A를 B위에 놓고있다
strolling, 걷고있다
produce, 농산물
gatherd, 모여있다

 
