take care of, ~을 담당하다
in charge of, ~을 담당하다
reach + 사람, ~에게 연락하다
fare, 요금
forecast, ??
budget, 예산
what + is/are + 명사 + like, 명사는 어때요?
what type of , 어떤종류?
take + 시간, 시간이 걸리다
over there, 저쪽에
supply closet, 물품 창고
application form, 지원서
approach, 접근하다
be satisfied, 만족을 느끼다
be liable for, ~책임이 있다
revenues, 수입
under one's management, one's의 관리 하에
in case of fire, 불이 나는 경우에
measures, 측정하다(동)/조치(명)
take measures, 조치를 취하다
measurement, 측정
take action, 조치를 취하다
at least, 최소(부사)
be expected to[v], ~은 to[v] 할 것 이다
gathering, 모임
discribed, 설명하다
differ, 다르다 
conducting, 실행하다
intending, 의도하다
resolving, 해결하다
surrounding, 애워싸다
intend to[v], ~ 할 예정이다
conduct a survey, 설문조사를 하다
conduct a research, 조사를 하다
conduct a interview, 인터뷰를 하다
suitability, 적절함
alleviate, 완화하다/ (+ stress/congestion) 부정적 단어 등을 완화하다
express, 감정을)표현하다
quantities, 양/수량
