concerning, ~에 관한
regarding, ~에 관한
find out, 알게되다
shopkeepers, 가게 주인
annual, 연례의
accurate, 정확한
sincere, 진심의/ 진심어린
rapid, 빠른
available, 이용가능한/ 구매가능한
fortunate, 운 좋은
adaptability, 적응성
sophisticated, 세련된/교양있는
existing, 존재하는
apparent, 분명한
ways, 방법
gradual, 점진적인
consecutive, 연속적인
preventive, 예방을 위한
gradual growth, 점진적인 성장
the third consecutive year, 3년 연속
preventive measures, 예방용의 조치
narrow, 좁은/아슬아슬한
moderate, 중간 정도의
moderate success, 중간 정도의 성공
modern, 현대의
recent, 최근의
late 명사 , 어떤 기간의 마지막 부분
remote, 먼
sensitive, 예민한
pleasant, 즐거운
thick,두꺼운
whole, 전체의
trusted, 믿을 수 있는
unprecedented, 전례 없는
apprehensivem,불안한
conpetitive, 경쟁력 있는
sincere, 진실된
describes, 설명하다
receive, 수령하다
edition, 판
rediscovered, 재발견 된
discovered, 발견된
acclaim, 칭찬
hesitantly, 마지못해
markedly, 눈에 띄게/현저하게
nevertheless, 그럼에도 불구하고 [접속부사]
therefore, 그러므로  [접속부사]
meanwhile, 그동안 [접속부사]
considerably, 상당히
substantially, 상당히
remarkably, 급격하게
drastically, 급격하게
initially, 최초에
cooperatively, 협력적으로
promptly, 즉시
orderly, 정돈된/질서정연한
longer, 더 긴 [비교급]
caters, 음식을 공급하다/~필요에 맞추다
intensely, 강렬하게/ 격하게
exclusively, 오로지/ 독점적으로
typically, 전형적으로
stringently, 엄격하게
simultaneously, 동시에
optionally, 임의로
unusually, 대단히/몹시/평소와 다르게
indifferently, 무관심하게
normally, 보통
presently, 현재
ultimately, 궁극적으로
exactly, 정확히
precisely, 정확히
open to the public, 대중에게 공개된
public transportation, 대중 교통
ongoing, 진행되고 있는
resident, 거주자
crowd, 군중들/사람들
기계 + won't, 고장
appointment, 약속
find out, 알아내다
exhibition, 전시회
tightly, 단단히 꽉
temporarily, 일시적으로
patiently, 참을성 있게
lately, 최근에
formerly, 이전에
solely, 오로지
arguably, 틀림없이
mindfully, 주의하여
lively, 활기있게
consistently, 꾸준히
spokesperson, 대변인
reasonably, 합리적으로
fairly, 상당히
throughout the year, 올해 내내
subtly, 미묘하게
politely, 공손하게
considerably, 
drastically,
agreeable, 기분 좋은/ 알맞은
settlement, 합의
mutually, 상호적으로
precisely, 정확히
exceedingly, 매우/몹시
commonly, 흔히/보통
gradually, 점점 더 / 서서히
in mind, 유념하여
nonetheless, 그럼에도 불구하고
enhanced, 강화된
up to 숫자, 최대 (=as much as)
installments, 할부
huge, 큰
throughout 특정기간, ~동안 내내 
a wide range of, 다양한 폭넓은
financed, 자금을 공급하다
disposed, (+of) 처분하다
determined, 결정하다
concluded, 마무리짓다
based on, ~을 근거로 하여
pre-tax, 세전의
pension, 연금
on account of, ~때문에
headquarter, 본사
be expected [to v], 기대되다
investment, 투자
capital, 자본
in charge of, ~을 책임지고 있는
in exchange for, ~의 대신으로
on behalf of, ~을 대신하여
반복 + 현재 시제
regularly, routinely, 정기적으로
geerally, typically, 일반적으로
occasionally, frequently, 때때로/자주
discovery, 발견
oil reserve, 석유 매장량
multinational, 다국적의
eventual, 궁극적인
lead to, ~결과를 낳다
apologetic, 미안해하는
apologize, 사과하다
recall, 회수하다
vacuum cleaner, 청소기
fault, 결점
considering, ~을 고려하면 [전치사/접속사]
afterwards, 그 후에[부사]
owing to, ~때문에 [전치사]
although, ~하지만[접속사]
rather than, ~대신/오히려
indicate, 표시하다 가리키다
fill out, 작성하다
registered, 등록된
necessary, 필수적인 필요한
shipment, 택배

