suitable, 적합한
come furnished with, 가구/기기가 비치된
be equipped with, 가구/기기가 비치된
annual, 연간의
fund-raising, 모금 활동
banquet,연회
prominent, 뛰어난
as well as, ~뿐만 아니라
settle, 정착하다 해결하다
settle your account, 정산하다
qualification, 자격 요건
free to, ~을 자유롭게 하다
store, 보관하다/상점
whetrher A or B, A를 하든 B를 하든
felxible, 융통성 있는
those who, ~하는 사람들
those ~ing, ~하는 사람들
those p.p.,~된 사람들
adjustment, 조정 수정
unexpected, 예기치 않은
instead, 대신
prior to, ~이전에
medical certificate, 진단서
eliminate, 제거하다
absence, 결근 결석
will no longer, 더이상 ~하지 않다
under the 명사, 명사에 의하여
기간 prior to 명사, ~명사의 (기간) 전에
please note that~, ~대해서 알아 두세요
due to, ~때문에
out of print, 절판된
out of order, 고장된
within 기간, 기간 이내에
Likewise, 이와같이
ensure, 보장하다
neighbohood, 이웃/지역
sponsorship, 후원
licensed, 인증받은
institute, 학원
negotiate, 협상하다
gratitude, 감사 / 고마움 [명]
as, ~로서 [전치사] / ~때문에 ~대로 [접속사]
together with / along with, ~와 함께
provide 누구에게 with 무엇을 제공하다, 외워
enable 목적어 to do, 목적어가 to 부정사 하는것을 가능하게 하다
help (to) 동사원형, ~하는것을 돕다
be preferred, 선호되다
negotiable, 협상 가능한
graduate, 졸업자/ 졸업하다
in advance, 미리
consult, 상담하다/찾아보다
further, 추가적인 / 더이상의
leave of absence, 휴가
in light of, ~고려하여
good time, 좋은 때/ 좋은 시점
명사 with~, ~을 가진 명사
사람 who~, ~하는 사람
regarding, ~에 관해서
reason, 이유 / 판단하다
settle, 정착하다/ 해결하다
be kept, 유지되다
as 형.부 as possible, 가능한 형.부 하게
way, 방법 / 길
way to do, ~할 방법
due to 명사, ~때문에  (=because of)
be due, 기한이 되다
register for, ~에 등록하다
at the time of 명, 명사 할 때
open to 명, 명사에게 공개된/ 열려있는
in the order, 순서대로
assign, 일/좌석을 할당하다
on a first-come/ first-served basis, 선착순대로 제공
advance reservation, 사전 예약
at least 숫자, 최소 
related experience, 관련 경험
prior experience, 이전 경험
relevant, 관련 있는
degree, 학위
appliance, 기기
with ease, 쉽게 (=easily)
