suggest, 암시하다 / 제안하다
How often~ , 얼마나 자주 ~
incident, 사고 사건
infection, 감염
reinforce, 강화 하다
be requird [to v], ~ 요구받다
urge, 촉구하다
urge 누구 [to v], 누구에게 to v 하라고 촉구하다
venue, 장소
revenue, 소득/수입
guest speaker, 초청 연사
accommodate, 수용하다/  요구를) 맞추다
regardless of, 상관없이
complete, 작성하다
register for, 등록하다
in order to do, ~하기 위해서
attendee,참가자
following, 다음의 [형] / ~후에 [전치사]
refrigerator, 냉장고
air conditioner, 에어컨
vehicles, 자동차
machinery, 기계 장치
too 형 [to v], 너무 to v 해서 형용사 할 수 없다
remain competitive, 경쟁력 있는 상태를 유지하다
for 명사 to v , to 부정사 의미상의 주어
determine, 결정하다 
assess, 평가하다 
renovate, 개조하다/수리하다
according to, ~에 따르면
admission, 입장
admit, 입장을)허가하다
only if, ~해야만
written exam, 필기시험
suitable, 꼭맞는 / 적합한
take over, 떠났다
have yet [to v], 아직 ~하지 못했다
on time, 제시간에
complete, 작성하다 / 완료하다
along with,함께
certificate, 증명서
accessible, 이용 가능한
active, 유효한
resident, 거주자
issue, 지급하다 발급하다
impose, 보과하다
such as, 예를들어 [전치사]
open to, ~에게 열린/공개된
per, ~당  ex) per day 하루 당
in urgent need of, 급히 필요한
acceptance, 수락
suitable for, 적잡한
tailor, 꼭맞게) 맞추다
work, 일[불가산] / 작품[가산]
warranty, 품질 보증
replacement, 교환
take one`s place, one`s의 자리를 대신하다
as long as, [부사절 접속사] ~하는 한
명사 p.p. by~, by~에 의해 p.p. 된 명사
such as, ~과 같은/ 예를들어
improper, 부적절한
care about, 관심을 가지다
therefore, 그러므로
located, ~에 위치한
interrupt, 중단하다 (= put on hold)
because of, ~때문에 (=due to)
lack, 부족 (=shortage)
regular, 정기적인
to v, 완전절 to v, to 부정사의 부사적 용법 (~하기 위해서)
look forward to 명사, ~을 기대하다
compromise, 타협하다
duplicate, 사본/복사하다
present, 선물/ 참석한/ 제시하다
impose, 부과하다
burden, 짐/부담
insurance, 보험
meet the 명사, 명사를 충족시키다
nearby, 근처의
neighborhood, 이웃
district, 지역
exchange, 교환하다
exchange A for B, A를 B로 바꾸다
get back to, ~에게 다시 연락하다
leave, 떠나다/남겨두다 (p.p=left)
