be willing to do, 기꺼이 ~ 하고자 하다
let 목적어 동.원, 목적어에게 동.원 하도록 시키다
allow 목적어 [to v], 목적어에게 [to v]하도록 허락하다
mention, 말하다/ 언급하다
though, ~불구하고[부사절 접속사] / 그렇긴 하지만[부시]
there be 주어, 주어가 있다
suitable, 적합한
assure, 보장하다
within 기간, 기간 이내에
take place, 사건등이) 일어나다
itinerary, 여행 일정
specifications, 지침/ 설명
ahead of time, 예정보다 먼저
improper, 부적절한
inappropriately, 부적절하게
contaminate, 오염시키다
overseas, 해외의
dispose of, 버리다 / 처분하다
reception, 접수처 / 환영회
investor, 투자자
receptionist, 접수 담당자
through 시점, 시점까지
ticket inspector, 검표 승무원
utility, 공공요금
lease agreement, 임대 계약
local hires, 현지 신입 사원들
throughout, 여기저기에 / 전역에
press conference, 기자 회견
be proud of, 자랑스러워 하다
분사구문. 완전한절. 분사구문, 그래서~했다 / ~때문에 / ~할때
take over, 인계받다
extensive, 광범위한 / 폭넓은
expensive, 비싼
inexpensive, 비싸지 않은
advertising, 광고
relevant, 관련 있는
make up for, ~을 만회하다
those who, ~하는 사람들 (명사 뒤 who 관계대명사/형용사)
hospitality, 환대
competitive price, 경쟁력있는 가격
transport, 수송/운송
compared to, ~와 비교하여
across the country, 전국의
nationally, 전국적으로 / 국내에서
quite, ??
primarily, 주로
fieldwork, 현장연구
at times, 가끔은/ 때로는
in order to do, ~하기 위해서
lead 목적어 [to v], 목적어가 [to v] 하도록 이끌다
poor service, 형편없는 서비스
