a series of, 연속적인	
instructional, 교육용의
sessions, 수업
so far, 지금까지
such ~ as,~와 같은
be supposed to, ~하기로 되어 있다
let you know, 당신에게 알려주다
usage, 사용
gather, 모으다
in-person, 직접하는 / 실제로하는
focus group, 조사를 위해 각 계층을 대표하도록 뽑은 그룹
available, 구할 수 있는 / 이용 가능한
throughout, 전역에 / 도처에
encouraging, 힘을 복돋아주는
resident, 거주자
elderly, 나이가 많은
with 명사 ing, ,명사가 ing 하면서
insufficient, 불충분한
demonstration, 시연
vulnerable, 취약한/공격을 받기 쉬운
establishment, 기관 / 설립
decent, 적당한 괜찮은
name 목적어 목보, 목적어를 목보로 지명하다
refrain from, 삼가다 자제하다
diminish, 줄이다
