practice    ,     연습하다[동] / 연습[명]
admit    ,     인정하다
Give up    ,     포기하다 (=quit)  [RC MEGA PASS - 동명사를 목적어로 취하는 동사]
Admit    ,     인정하다 (!=deny)부인하다  [RC MEGA PASS - 동명사를 목적어로 취하는 동사]
Intend    ,     ~것을 의도하다/시도하다  WIN HAPPY DREAM - to부정사를 목적어로 취하는 동사
Agree    ,     동의하다 (자동사 이지만 [to V] 목적어 바로 받을 수 있음)  WIN HAPPY DREAM - to부정사를 목적어로 취하는 동사
Promiss    ,     약속하다  WIN HAPPY DREAM - to부정사를 목적어로 취하는 동사
Plan    ,     계획하다  WIN HAPPY DREAM - to부정사를 목적어로 취하는 동사
Decide    ,     결정하다  WIN HAPPY DREAM - to부정사를 목적어로 취하는 동사
Expact    ,     예상하다/기대하다  WIN HAPPY DREAM - to부정사를 목적어로 취하는 동사
Aim    ,     ~하는 것을 목표로 삼다  WIN HAPPY DREAM - to부정사를 목적어로 취하는 동사
Manage    ,     가까스로 [to V]를 해내다  WIN HAPPY DREAM - to부정사를 목적어로 취하는 동사
require    ,     요청하다 3A - to부정사를 목적격 보어로 취하는 동사
force    ,     요청하다  3A - to부정사를 목적격 보어로 취하는 동사
Advise    ,     조언하다  3A - to부정사를 목적격 보어로 취하는 동사
invite    ,     조언하다  3A - to부정사를 목적격 보어로 취하는 동사
permit    ,     허락하다  3A - to부정사를 목적격 보어로 취하는 동사
enable    ,     허락하다  3A - to부정사를 목적격 보어로 취하는 동사
have difficulty (in) -ing    ,     ~하느라 어려움을 겪다
waste    ,     낭비하다
it is no use -ing    ,     ~해도 소용없다
be worth -ing    ,     ~할 만한 가치가 있다
on -ing    ,     ~하자마자
go -ing    ,     ~하러가다
be used to -ing    ,     ~에 익숙하다
look forward to -ing    ,     ~을 기대하다
exchange    ,     교환하다
in recogniton of    ,     ~을 인정하여
participation    ,     참여
gaining    ,     얻다
reputation    ,     평판
arrangement    ,     준비/마련
as a manager    ,     관리자로서
subscription    ,     구독/구독료
prediction    ,     예측 / 예보
extensive    ,     포괄적인/광범위한
inquire aboit    ,     ~에 대해서 질문하다
property    ,     토지 건물
promising    ,     유망한
neglect    ,     무시하다
vacant    ,     비어 있는
insecure    ,     불안정한
residential    ,     주거의
growing number    ,     증가하는 수   [현재 분사 형태의 형용사](~ing / ~하는)
opening remarks    ,     개회사   [현재 분사 형태의 형용사](~ing / ~하는)
challenging role    ,     힘든 역할   [현재 분사 형태의 형용사](~ing / ~하는)
opposing side    ,     반대 편   [현재 분사 형태의 형용사](~ing / ~하는)
marked receptacles    ,     표시된 용기  과거 분사 형태의 형용사 ( p.p. ~된)
preferred means    ,     선호되는 수단  과거 분사 형태의 형용사 ( p.p. ~된)
authorized agency    ,     허가 받은 업체  과거 분사 형태의 형용사 ( p.p. ~된)
complicated process    ,     복잡한 과정  과거 분사 형태의 형용사 ( p.p. ~된)
