supplier, 공급업자
come up with an idea, 생각이 떠오르다
affordable, 합리적인
contract, 계약
condition, 계약 조건
terms, 계약 조건
sales strategy, 판매 전략
attract, 효과가 있는 / 흥미를 끌다
get back to, 연락하다
go into details, 논의하다
consult (with), 논의하다
by the end of the day, 오늘까지
aside from, ~외에도
infrom 누구 that절, 누구에게 that절에 대해 알리다
formerly, 이전에 (=previously)
for the time being, 당분간
secretary, 비서
starting, ~부터 (=beginning / from)
extension, 사내전화
help 목적어 목적격보어(to v/동.원),외워
attractive, 매력있는
inroduce, 소개하다
there be 주어, 주어가 있다
caution, 주의/ 조심성
practice caution, 주의를 행하다
exercise caution, 주의를 행하다
at once, 즉시 
substance, 물질
infectious, 전염성의
incident, 사건
amlfunction, 제대로 작동하지 않다
apttempt to do, 시도하다
as p.p. , ~된 대로
hours of operation, 운영 시간
extract, 뽑다 / 추출하다
ensure, 확보하다
train, 교육시키다
conduct, 이끌다 지휘하다
until further notice, 추후 공지가 있을때까지
illegal, 불법의
indefinite, 무기한의
be placed, ~에 놓이다
available to 명사, ~에게 이용 가능한
attendee, 참석자
interruption, 중단
disruption, 중단
deposit, 보증금
accidentally, 우연히 / 착오로 / 잘못하여
gain access, 접근 권한을 얻다
third party, 제 삼자
be given 명사, 명사를 받다
strictly, 엄격히
praise, 칭찬
incorrect, 부정확한 / 잘못된
statement, 고지서
reflect, 반영하다
find out, ~에 대해 알아내다
turn out, ~인 것으로 밝혀지다
insists, 주장하다
highlight, 강조하다
lease, 임대하다
living, 살고있는
population, 주민
warn, 경고하다
endanger, 위험에 빠뜨리다
best known for, ~으로 가장 잘 알려진
famous for, ~으로 유명한
satisfied with, ~에 만족을 느끼는
be situated in, ~에 있다 (=be placed in)
attribute A to B, A를 B의 탓(공)으로 돌리다
lower, 더 낮은
interest rate, 이자율
acquire, 습득하다 / 인수하다 / 매입하다 / 취득하다
strengthen, 강화하다
educational, 교육의 / 교육적인
reinforce, 강화하다
status, 위치
cosmetics, 화장품
flyers, 전단지
registration, 등록
itinerary, 여행 스케쥴
down payment, 선금
balance, 잔액
issuance, 발행
questionnaire, 설문지
fair, 보통의
poor, 나쁜
above average, 평균 이상
satisfactory, 만족스러운 (무엇이 만족을 준다)
satisfied, 만족을 느끼는 (내가만족을 느낀다)
unsatisfactory, 불만족 스러운
dissatisfied, 불만족을 느끼는
farewell party, 송별회
RSVP, please reply / 대답좀 해조
session, 수업 / 회기
departure, 출발
destination, 목적지
one-way, 편도의
round trip, 왕복 여행
notice, 공지 / 알아차리다
contemporary, 현대의/같은시대의
a wide variety of, 매우 다양한
valued, 귀중한
As 명사, ~로써
look to, ~하는것을 목표로삼다
simplify, 간소화하다 [동사]
definitely, 확실히
assignment, 업무/일
accept, 수락하다
debate, 논쟁하다
claim, 주장
the least, 가장 적은
thought, 생각
toll-free number, 수신자 부담 전화번호
honor, 축하하다 / 경의를 포함하다
recession, 불경기
bankruops,
subsidiary cpmpany,
grocery, 식료품
vendor, 노점상/ 행상인
niche market, 틈새시장
as well as, ~뿐만 아니라
when it comes to, ~에 관한
while, ~동안에 / 반면에 
such as, 예를 들어
motivator, 동기를 부여하는 것
reward, 보상
loyalty, 충성
primary, 주요한
ensure, 보장하다
inspire, 격려하다 / 영감을 받은
boring, 지루한
self-esteem, 자부심
reinforce, 강화하다
occupation, 직업
compliment, 칭찬
recognition, 인정 / 표창
practices, 실행 / 연습 / 관습
rewarding, 보람이 있는
often, 자주
warehouse, 창고
period of time, 기간
vote, 투표
departure, 출발
be due, ~할 예정이다 / 지불해야 한다
enhance, 강화하다 / 향상시키다
