shift, 근무시간 / 근무조
basement, 지하
need a hand, 일손이 필요해 / 도움이 필요해
though, 그렇긴 하지만 [부사]
come by, 잠깐) 들리다
stop by, 잠깐) 들리다
run an errand, 심부름을 하다
remind, 상기시키다 
remind 누구에게 that절/of 명사, 누구에게 ~에 대해 상기시키다
brought, bring의 과거 동사) 가져다 줬다
let/make/have, 사역동사) 동사 목적어 동사원형 ) 목적어가 동사원형 하도록 하다
flexible, 융통성 있는
determine, 결정하다
overseas, 해외
abroad, 해외에
a number of, 많은
as + 절, [부사절] (1)때문에/(2)~듯이/~할 때
succeed, [Vt] ~의 뒤를 잇다/ [Vi] +in 성공하다
plenty, 풍부한 / 충분한
laundry, 세탁
spacious, 널찍한
nearby, 인근의 / 가까운 곳의
amenity, 편의 시설
tenant, 세입자
landlord, 주인
proficient, 능숙한
fluency, 유창한
hospitality, 환대 / 대접
various, 다양한
명사 with 명사 , ~을 가진 명사
be preferred, 선호되다 (필수 아님)
not available, 품절
place an order, 주문하다
put in an order, 주문하다
aisle, 통로 / 복도  [발음  :아일]
proof of order, 영수증
come in, ~ 제공되다
swap, 교환하다
store credit, 포인트
[LC] directions, ~길찾기
sightseeing, 관광
itinerary, 여행일정표 [ 아이테너러뤼]
exhibition, 전시회
criticism, 평가 평점
accept, 받아들이다 / 수락하다
certified, 보증된 / 증명된
check , 명사 / 수표
not that, ~이기 때문에
suspend, 중지하다
outstanding payments, 미지불 대금
outstanding balance, 미지불 대금
complimentary, 무료의
quote, 견적 (=estimate)
in order to , ~하기 위해서
volunteer, 자원봉사자 / 자원봉사하다
in need of, ~을 필요로 하는
recruit, 사람을) 모집하다
draw, 끌다 (=attract)
awards ceremony, 시상식
coordinator, 진행자
further, 더나아가 더 이상의
tow, 견인하다
attend, [Vt] 참석하다 [Vi] ~을 돌보다
attendant,직원 / 종업원
feature, 특징 / 특징으로 삼다
until now, 지금 까지는
courses, 강의 / 강좌
obtain, 얻다 
depart, 출발하다 떠나다
as p.p. , p.p. 된 대로 (as scheduled)
preserve, 보존하다
transformation, 변화 변형
cause 목적어 [to V], 목적어가 tov 하도록 야기하다
fall behind schedule, 일정에 뒤쳐지다
excursion, 관광 여행 (=trip)
