by -ing, ~함으로써
keep 목적어 to a minumum, ~을 최소한으로 유지하다
lead to 명사, ~로 이어지다 / 초래하다 (=result / cause)
work one's way up, 승진하다 / 나아가다
remodel, 개조 (=renovate)
demolition, 철거 파괴
erection, 건설 / 건립
phase, 단계
private, 사적인 / 비밀의 (=confidential / classified / secret)
used, 중고의
in good shape, 상태가 좋은
secondhand, 중고의
regain, 되찾다
substitute A for B, B를 A로 대체하다
patron, 단골 고객
determine, 결정하다
be invited tov, to부정사 하도록 요청받다
plant, 공장
builder, 건축업자
suitable, 적절한
be known as, ~으로 알려져 있다
in honor of, ~을 기념하여
found-founded-founded, 설립하다 
name, 이름을 짓다 / 임명하다 / 지명하다
name after, ~의 이름을 따서 명명하다
exhibit, 전시 / 전시회
textile, 옷감
initiate, 착수시키다 / 시작하다
robust, 튼튼한
Unfortunately, 유감스럽게도
insist, 주장
about 수량, 대략
reasons, 이유
insufficient, 불충분한
inadequate, 부적합한
go through, ~을 겪다
measures, 조치 / 수단 / 측정하다 [동]
scenery, 경치
coach, 대형버스
drawback, 문제점
definitely, 정말 / 명확히
prohibit, 금지하다
suffer, 고통을 겪다
unanimous, 만장일치의
anonymous, 익명의
workforce, 노동력
unveil, 공개하다 (!=veil 가리다)
regarding, ~에 관한
makes sense, 타당하다
be headed to, ~로 향하다
drop by, 잠깐 들르다 (=stop by)
conscious, ~을 생각하고 있는
project, 계획하다 (=schedule)
bilingual, 2개 국어를 하는
bulk, 대량
treat, 대하다 / 대접하다
meet the need, 필요를 충족시키다
advance, 진보
accuracy, 정확성
forecast, 예보 / 예상
weather forecasting, 일기 예보
invention, 발명
give directions, 길을 알려주다
suburb, 근교
easy access to a subway station, 역세권
adjust schedule, 일정 재조정하다
interviewee, 면접자
interviewer, 변접관
blackout, 정전
power outage, 정전
restore, 재개하다
resume, 재개하다 [동 리쥼] / 이력서 [명 레쥬메]
stay on the line, 전화선을 끊지않고 대기하다
commensurate with, ~에 비례한 / ~에 상응한
cover letter, 자기소개서
publicize, 광고하다
for sale, 팔려고 내놓은
reveal, 알리다 밝히다
housing development, 주택 단지
potential buyer, 잠재고객
come across, 우연히 마주치다
best of all, 무엇보다도
afford to do, ~할 여유가 있다
realty, 부동산
threaten, 위협하다
sanitation, 위생
power failure, 정전
undergo, 겪다
reorganization, 개변 / 개혁
closure, 폐쇄
restructuring, 구조 조정
badge, 신분증
introduce, 도입하다 / 소개하다
security office, 경비실
look into, 조사하다
judge, 심사하다
tow, 견인하다
unauthorized, 권한이 없는
