pomotional offer, 판촉 행사
voucher, 쿠폰
give away, 증정품
specialize in, 전문으로 하다
various, 종류가 다양한
a wide range of, 종류가 다양한
affordable, 저렴한
reasonable, 저렴한
newest, 최신의
latest, 최신의
host, 진행자
the winner of --Award, 수상자
author, 작가
novelist, 작가
athlete, 운동선수
movie director, 영화 감독
film maker, 영화 감독
open the phone lines, 전화 연결하다
commercial, 광고
advertisement, 광고
heavy traffic, 교통체증
traffic congestion, 교통체증
repave, 재포장 하다
alternateroute, 우회로 (대안의 길)
detour, 우회로
poor weather, 악천후
severe weather, 악천후
get better, 개선되다
sunsecreen, 자외선 차단제
sunblock, 자외선 차단제
public transportation, 대중 교통
conserve, 절약하다 (보존)
expert, 전문가
urge, 권장하다
be ready, 완공된 준비된
mayor, 시장 (직책)
city official, 공무원
committee, 위원회
approe, 인가하다
authorize, 인가하다
poll, 여론조사 설문
undergo inspections, 점검을 받다
