accompany, 동반하다/바래다주다
act, 행동하다
address,주소를 기입하다/다루다/연설하다
advise,충고하다/권유하다
allow,허락하다,허용하다
analyze, 분석하다
announce, 발표하다
anticipate, 예측하다
apologize, 사과하다
apply, 지원하다
account, 계좌/설명하다
activity, 활동
agreement, 협의/계약서
amount,양/총액/(금액이)~에 이르다
arrival, 도착
acticle, 한 품목/기사
able, 할 수 있는
accurate, 정확한
alternative, 대안
already, 이미
cautiously, 조심스럽게
appoint, 임명하다
appreciate, 감사하다
approve,승인하다
arrange, 준비하다
attend, 참석하다 (= take part in/participate in)
attract, 그리다/ 끌다
cause, 야기하다(=bring about/result in/lead to)
choose, 선택하다
commit,전념하다
commute, 통근하다
benefit, 혜택/복리후생
budget, 예산
candidate, 후보자
chance, 기회
choice, 선택
confusion, 혼란
available, 이용가능한
aware, ~을 알고 있는
borad, 넓은
continually, 계속해서
directly, 직접/바로
compare, 비교하다
complete, 완성하다/완벽한
comply, 준수하다
conduct, 실행하다
confirm, 확인하다
consider, ~을 고려하다
contain, 포함하다
create, 창조하다
cut, 자르다
damage, 손상/손상시키다
conservation, 보존
construction, 건설
consumer, 소비자
copy, 복사물/복사하다
deadline, 마감기한
decision, 결정
capable, 할 수 있는
common, 일반적인/공통
convenient, 편리한
frequently, 빈번하게
hard, 열심히(부)/어려운(형)
deal, 다루다/거래
dedicate, 바치다
delay, 지연(명)/연기하다(동)
demand,요구하다(동)/수요(명)
design,디자인하다(동)/디자인(명)
develop,개발하다
discontinue, 중단하다
discuss, 논의하다
distribute, 분배하다
divide, 나누다
discount, 할인
economy, 경제
effect, 효과
enrollment, 입학
entrance, 입구
environment, 호나경
defective, 결함이 있는
effective, 효과적인
essential, 필수적인
immediately, 즉시
increasingly, 점점
donate, 기부하다
drop, 떨어지다(동)/하락(명)
enable, 가능하게 하다
establish, 설립하다
estimate, 추정하다(동)/견적서(명)
evaluate, 평가하다
expand, 확장하다
expect, 예상하다
explain, 설명하다
extend, 연장하다
expense, 비용
facility, 시설
field, 분야
growth, 성장
habit, 습관
identification, 신분증
final, 마지막의
financialm, 재정의
friendly, 친절한
necessarily, 반드시
only, 단지(부)
hesitate, 주저하다
hire, 고용하다
hold, 개최하다/잡다/보유하다
improve, 향상시키다
increase, 증가하다(동)/증가(명)
indicate, 나타내다
inform, 알리다
install, 설치하다
interest, 관심가지다(동)/관심(명)
invite, 초대하다/요청하다
individual, 개인(명)/각각의(형)
inspection,검사/점검
instruction,설명
invitation, 초대
laboratory, 실험실
leader, 지도자
ideal, 이상적인
important, 중요한
impressive, 인상적인
personally, 개인적으로
quickly, 빠르게
leave, ~로 떠나다/~인 상태로 두다
maintain, 유지하다
need, ~할 필요가 있다(동)/요구(명)
notify, 통보하다 (=inform/advise)
occupy, 차지하다
offer, 제공하다
operate, 작동/가동
organize, 구성하다/정리하다
permit, 허가하다(동)/허가증(명)
place, 두다(동)/장소(명)
level, 수준
management, 관리/경영진
market, 시장(명)/상품을)내놓다 (동)
matter, 문제
means, 수단
observance, 규칙)준수
independent, 독립적인
major, 다수의/주요한
past, 과거의/이전의
remarkably, 두드러지게
repeatedly, 반복적으로
promote, 승진시키다/홍보하다/촉진하다
propose, 제안하다
provide, 제공하다
publish, 발행하다
purchase, 구매(명)/구입하다(동)
reach, ~에 이르다
refund, 환불하다(동)/환불(명)
remain, 여전히 ~이다
opportunity, 기회
payment, 지불
performance, 업무수행/실적/성능/공연
personnel, 인사과
policy, 정책
pollution, 오염
position, 위치/ 직책
popular, 인기있는
positive, 긍정적인
professional, 전문적인(부)/전문가(명)
ready, 준비 된
several, 몇몇의 (3개이상)
special, 특별한
specific, 구체적인 (=particular)
subject, ~을 받아야 하는(부)/지배하에 두다(동)/ 대상(명)
seriously, 심각하게
temporarily, 일시적으로
widely, 널리
yet, 아직
