remind, 상기시키다
renew, 갱신하다
repair, 수리하다(동)/수리(명)
replace, 대신
require, 요구하다
reserve, 예약하다
resolve, 해결하다
respond, 응답하다
profit, 수익
prospect, 전망
purpose, 목적
receipt, 수령/영수증
region, 지역
reimbursement, 상환
relation, 관계
tentative, 잠정적인
timely, 시기적절한
worth, ~할 가지가 있는(부)/가치(명)
acceptable, 받아들여지는
adequate, 적절한 (=sufficient)
affordable, 가격이)알맞은
allergic, 알레르기가 있는
appropriate, 적절한
accidentally, 우연히
almost, 거의
apparently, 확실히/분명히
approximately, 대략
result, 결과(명)/야기시키다(동)
return, 되돌리다/되돌아오다/수익(명)
review, 검토(명)/검토하다(동)/(=look over/go over)
revise, 수정하다
seek, 찾다/추구하다
send, 보내다
serve, 시중을 들다/~로서 역할을 하다
show, 보이다(동)/전시회(명)
response, 응답
revision, 수정
success, 성공
suggestion, 제안/의견
survey, 설문조사
technician, 기술자
term, 기간/조건/용어/어조
certain, 확실한
complimentary, 무료의
confident, 자신있는
confidential, 기밀의
diverse, 다양한
domestic, 국내의
due, 만기인
durable, 내구성이 있는
birefly, 간략히
carefully, 신중히
carelessly, 부주의 하게
clearly, 또렷하게
submit, 제출하다
verify, 증명하다
access, 접근하다(동)/접근(명)
accommodate, 수용하다 (=hold/house)
affect, ~에 영향을 미치다
assure, 보장하다
attach, 첨부하다 ( != detach)
attempt, 시도(명)/시도하다(동)
variety, 다양성
accommodation, 숙박/숙박시설
accordance, 일치
addition,추가/충원/증축
advantage, 이점/장점
aim, 목적(명)/노력하다(동)
apology, 사과
eager, 간절히 바라는
eligible, 자격이 되는
entire, 전체의
familiar, 익숙한
foreseeable, 예견할 수 있는
innovative, 혁신적인
likely, 가능성있는
medical, 의학의
consistently, 일관되게
correctly, 정확하게
currently, 현재
efficiently, 효율적으로
authorize, 권한을 부여하다
avoid, 피하다
boost, 복돋우다
celebrate, 축하하다
charge, 청구하다(동)/책임/요금(명)
close, 닫다/폐쇄하다
concentrate, ~에 집중하다 (=focus on)
demonstrate, 입증하다
appeal, 흥미를 끌다 (동)/ 호소(명)
award, ~에 대한 상(명)/수여하다 (동)
brochure, 소책자 (=pamphlet)
certifivation, 인증/자격증
charity, 자선/자선단체
committee, 위원회
compensation, 보상/보상금
numerous, 수많은
optimistic, 낙관적인
overall, 전반적인/종합적인 (=comprehensive)
overdue, 연체된
potential, 잠재적인(부)/잠재력(명)
protective, 보호의
public, 대중의
qualified, 자격을 갖춘
enthusiastically, 열정적으로
equally, 동등하게
ever, 최상급에서) 지금껏 
extremely, 극도로/ 아주
deposit, 예금하다(동)/예금(명)
earn, 벌다
encourage,격려하다
engage, 종사하다/종사시키다
entitle, 자격을 주다
exceed, 초과하다
expire, 만료되다
fill, 채우다
