anticipate    ,     예측하다
arrival    ,     도착
cautiously    ,     조심스럽게
approve    ,    승인하다
conduct    ,     실행하다
conservation    ,     보존
decision    ,     결정
capable    ,     할 수 있는
convenient    ,     편리한
divide    ,     나누다
effect    ,     효과
estimate    ,     추정하다(동)/견적서(명)
expect    ,     예상하다
necessarily    ,     반드시
invitation    ,     초대
independent    ,     독립적인
publish    ,     발행하다
opportunity    ,     기회
conclusion    ,     결론
fulfill    ,     이행하다 
forecast    ,     예측(명)/예상하다(동)
substantial    ,     상당한
unstable    ,     불안정한
last    ,     지속하다(동)/마지막의(형)
predict    ,     예측하다
demanding    ,     벅찬/까다로운
precisely    ,     정확하게
promptly    ,     즉시/정각에
present    ,     제공하다/제출하다
precaution    ,     예방/사전 조치
designated    ,     지정된
disappointing    ,     실망을 주는
discouraging    ,     낙담시키는 
properly    ,     적절하게
shortly    ,     곧/이내
rely    ,     의지하다
respond    ,     응답하다
affordable    ,     가격이)알맞은
appropriate    ,     적절한
apparently    ,     확실히/분명히
response    ,     응답
diverse    ,     다양한
durable    ,     내구성이 있는
verify    ,     증명하다
affect    ,     ~에 영향을 미치다
entire    ,     전체의
likely    ,     가능성있는
certifivation    ,     인증/자격증
ever    ,     최상급에서) 지금껏 
deposit    ,     예금하다(동)/예금(명)
