RC MEGA PASS - 동명사를 목적어로 취하는 동사
Recommend, 추천하다
Consider, 고려하다

Mind, 꺼려하다
Enjoy, 즐기다
Give up, 포기하다 (=quit)
Avoid, 피하다

Postpone, 연기하다 (=delay)
Admit, 인정하다 (!=deny)부인하다
Suggest, 제안하다
Stop, 중단하다 (=Discontinue, Finish)




WIN HAPPY DREAM - to부정사를 목적어로 취하는 동사
Want/Wish/Would like, 원하다
Intend, ~것을 의도하다/시도하다
Need, ~할 필요가 있다 (=have to~)

Hope, 바라다
Agree, 동의하다 (자동사 이지만 [to V] 목적어 바로 받을 수 있음)
Promiss, 약속하다
Plan, 계획하다
Y, WIN HAPPY DREAM에서 y는 없다.

Decide, 결정하다
Refuse, 거절하다
Expact, 예상하다/기대하다
Aim, ~하는 것을 목표로 삼다
Manage, 가까스로 [to V]를 해내다




3A - to부정사를 목적격 보어로 취하는 동사
Ask, 요청하다
require, 요청하다
force, 요청하다

Advise, 조언하다
invite, 조언하다
encourage, 조언하다

Allow, 허락하다
permit, 허락하다
enable, 허락하다


