be pleased to 부정사,   ~하게되어 기쁘다
be careful of to 부정사,  주의하다
active, 활동적인
be dedicated to 명사, ~에 전념하다, ~ 헌신하다
be aware of, ~을 안다/ ~을 인지하다
be advantageous for, ~에 이롭다
take advantage of, ~에 이용하다
be concerned about, ~에 대해 걱정하다
be allowed to 부정사, ~을 해도 된다고 허락되다
be located at, ~에 있다 (작은장소)
be located in, ~에 있다 (큰장소)
eligible for, 자격이 있는
capable of, ~할 수 있는
comparable to, ~에 필적하는
financial, 재정의 금융의
performance, 실적
dismiss, 해고하다
extensive, 폭넓은
experience, 경험
president, 회장
applicant, 지원자
attend, 참석하다
discuss, 논의하다
detailed, 상세한
postpone, 연기하다
material, 자료
confirmation, 확정
agree, 동의하다
benefit from, 혜택을 받다
proper, 적절한
prevent A from B, B로부터 A를 예방하다
injure, 부상입히다
immediately, 즉시
signed up for, 등록하다
despite, ~임에도 불구하고
be responsive to, ~에 대응하다
be responsible for, ~에 책임이 있다
at no cost, 무료로
in effect, 시행중인
in detail, 상세하게
detailed, 상세한
at all times, 항상
at times, 때때로
on times, 정시에
aside from, ~이외에/제외하고
on schedule, 예정대로
behind schedule, 예정보다 늦게
a head of schedule, 예정보다 일찍
as a result, ~로 인해
upon request, 요청하면/ 요청하자마자
upon delivery, 배송시에/ 배송하자마자
upon arrival, 도착하면/ 도착하자마자
rise, (물가등이) 오르다
rose, rise 과거형
dramatically, 급격히/ 극적으로
planning stage, 기획/단계
accident, 사고
patient, 환자
evaluation, 평가
interest in, ~에 대한 관심
staff productivity,직원 생산성
attendance records, 출근기록
compliance with, ~에 대한 준수
confidence in, ~에 대한 신임
baggage allowance, 수하물 허용치
customer survey, 고객 여론 조사
admission fee, 입장료/입회(입학)금
contingency plan, 비상 대책
in advace, 미리/먼저
at the latest, 늦어도
accoint for, (~비율을) 차지하다
specialize in, ~을 전문적으로 하다
collaborate on/with, 협력하다
go on vacation, 휴가를 가다
physical examination, 신체검사
would like to 부정사, ~하기를 원한다
by 재귀대명사, 혼자서
on 소유격 own, 혼자서
deal with, 다루다/처리하다
frequently, 빈번하게
examine, 검토하다
environmental, 환경의
effects, 영향
serveral, 몇몇의(3개이상)
sell + 누구에게 + 무엇을, 누구에게 무엇을 팔다
some, 몇몇개(긍정)
others, 다른몇개
the others, 남은 사람들
one, 하나
Another, 또다른 하나
any, 몇몇(부정문)
real estate, 부동산
technicain, 기술자
technical, 기술적인
equipment, 장비
identify, 확인하다/찾다
identification, 신분/신분증
widespread, 광범위한
criticism, 비판
criticize, 비판하다
summary, 요약
summarize, 요약하다
rejected, 거절하다
rejection, 거절
approve, 승인하다
approval, 승인
evaluate, 평가하다
As soon as, ~하자마자
representative, 직원대표
a paper, 신문
referrences, 언급/참조
refer to+명사, 언급하다/~을 참고하다
ask 누구 to부정사, 누구에게 to 부정사를 요청하다
necessary, 필수적인
repersent, 대표하다
defective, 결함이 있는
a lot of, 많은
a number of, 많은
the number of 명사, ~의 수는
thorough, 철저한/상세한
가산-source, 근원/출처
가산-result, 결과
가산-discount,할인
가산-refund,환불
가산-workplace,직장
가산-statement,보고서/명세서
가산-standard, 표준/기준
가산 앞 수량표현 [단수 명사] - each,각각의
가산 앞 수량표현 [단수 명사] - every,모든
가산 앞 수량표현 [단수 명사] - another,또다른
가산 앞 수량표현 [복수 명사] - many,많은
가산 앞 수량표현 [복수 명사] - a few, 몇개의
가산 앞 수량표현 [복수 명사] - few,거의없는
가산 앞 수량표현 [복수 명사] - fewer,더 적은
가산 앞 수량표현 [복수 명사] - several,몇몇의
가산 앞 수량표현 [복수 명사] - one of the, ~중 하나
가산 앞 수량표현 [복수 명사] - both, 둘다의
가산 앞 수량표현 [복수 명사] - a number of, 많은
가산 앞 수량표현 [복수 명사] - a variety of,다양한
불가산 명사 - access, 접근/출입
불가산 명사 - advice, 충고/조언
불가산 명사 - baggage, 초과 수하물
불가산 명사 - furniture,가구
불가산 명사 - equipment, 장비
불가산 명사 - information, 정보
불가산 명사 - luggage,수하물
불가산 명사 - news, 뉴스
불가산 명사 - consent, 동의
불가산 명사 - stationery, 문구류
불가산 앞 수량표현 - much,많은
불가산 앞 수량표현 - little,거의없는
불가산 앞 수량표현 - a little,적은
불가산 앞 수량표현 - less,더 적은
under consideration,고려중
under discussion, 논의중
without exceotion, 예외없이
during, ~동안
probable, (어떤일이)있을법한(사건)
prospective,장래의
protective, 보호하는/보호용의
prospective employee, 채용 후보자
innocently, 결백하게
agreeably located, 적합하게 위치한
extend, 확장하다
extended, 연장된
positive, 긍정적인
take place, 개최되다/발생하다
hold, 열다/잡다
take notice, 주의를 주다
take course, 수업을 듣다
early retirement, 조기 은퇴
extremely, 극도로/매우
exactly, 정확히(숫자)
in the foreseeable future, 가까운 미래에
keep up, 지속하다
benefits, 복리후생
paycheck, 급여
under pressure, 스트레스 받는
in accordance with, ~을 따라서
