still, 이미
in that case, 그렇다면
most likely, 아마도
residence, 주택 거주지
corporate, 법인
resort, 휴양지 / 의지
preparing, 준비
opening, 결석 공석 개장
meet, 만족시키다
achievement, 성취 달성
impressed, 인상깊게 생각하는 (사람)
impressive, 인상적인 (대상/사물)
excellent, 훌륭한
identify, 알아보다 확인하다
associate, 관련시키다
condition, 조건
employment, 고용
lack, ~이 없다[v] / 부족[n]
diligent, 성실한
familiar, 익숙한 친숙한
proficiency, 숙달 능숙
prospective, 장래의 미래의
apprehensive, 걱정하는 염려하는
entitle, 자격을 주다
degree, 학위
payroll, 임금대장 급료명부
recruit, 모집하다
occupation, 직업
wage, 임금
fair, 공정한 타당한
graduation, 졸업
in fact, 사실은
job fair, 취업 박람회
job offer, 일자리 제안
newcomer, 신입사원 새로온사람
secretary, 비서
send in, ~을 제출하다
tidy, 단정한 깔끔한
trainee, 훈련받는 사람
apply for, ~에 지원하다
aptitude, 재능 소질
be admitted to, ~에 입장이 허용되다
be advised to do, ~할 것을 권유받다
criteria, 기준 (criterion의 복수형)
decade, 10년
employ, 고용하다
insufficient, 불충분한
party, 단체/당사자/연회
plentiful, 풍부한
profession, 직업
