utility bill, 공과금 청구서
proofread, 교정하다
enlarge, 크게 키우다
affordable, (가격이)알맞은 / 감당할 수 있는
installment, 할부
instruction, 설명 지시
expert, 전문가[n] 전문가의/전문적인[adj]
warranty, 품질 보증/ 보증서
description, (제품등의) 설명
relatively, 상대적으로
preparation, 준비 대비
spare, 아끼다[v] 예비의 여분의[adj]
clearance, 정리 / 허가
alter, 고치다 바꾸다
mutually, 서로 / 상호간에
acceptable, 받아들일 수 있는/ 만족스러운
desire, 욕구[n] 원하다 바라다[v]
redeemable, (현금 상품과) 교환할 수 있는
fabric, 섬유 천
auction, 경매
authentic, 진정한 진짜의
valid, 유효한
vendor, 노점상 / 판매업체
shelf, 선반
grocery, 식료품점
devise, 고안하다 발명하다
innovative, 혁신적인
feature, 특징 특색[n]  특징으로 삼다 특별히 포함하다[v]
inspiration, 영감
sufficiently, 충분히
patent, 특허
envision, 계획하다 상상하다
intend, ~할 작정이다 / 의도하다
inspect, 검사하다 조사하다
invest, 투자하다 운용하다
various, 여러가지의 가지각색의
explore, 조사하다 탐구하다
hold, 수용하다/ ~을 담다/ 개최하다 / 열다
in advance, 미리
in advance of, ~이전에
advance in, ~의 진보 발전
reliable, 믿을만한 신뢰 할 수 있는
availability,가능성 유효성
accurate, 정확한
complicated, 복잡한
accomplished, 숙련된 노련한
compatible, 호환되는 
superior, 우수한
broaden, 넓히다
corrosion, 부식
remotely, 원격으로
lid, 뚜껑
shape, (어떤) 모양으로 만들다[v] 형체[n]
be known for, ~으로 알려져 있다
be made of, ~으로 만들어 지다
chemist, 화학자
close down, 폐쇄하다 폐업하다
discovery, 발견
historic, 역사적으로 중요한
invention, 발명 발명품
automate, 자동화하다
specification, 명세서 설명서 사양
properly, 제대로 / 정확하게
precaution, 예방조치
operate, 작동하다
capacity, 용량 / 역할
utilize, 이용하다 활용하다
place, ~을 ~한 상태에 두다/ (지시 주문 등) 하다
manufacturing, 제조의 [adj]
renovate, 개조하다
decision, 결정 판단
material, 재료 물질
attribute, ~의 덕분으로 돌리다
efficiency, 효율 능률
tailored, 맞춤의
component, 부품 요소
capable, ~을 할 수 있는
economize, 절약하다 아끼다
flexible, 융통성 있는 / 유연한 / 잘 구부러지는
comparable, 필적하는 비교되는
produce, 생산하다
respectively, 각각 따로
device, 장치
separately, 개별적으로 따로따로
maneuver, 이동시키다 움직이다
chemical, 화학제품
craft, 기술
crop, 농작물
not at all, 전혀 ~ 아니다/ 천만에
not far from, ~에서 멀지 않은
plant, 식물 공장
tool, 공구
be composed of, ~으로 구성되다
be filled with, ~으로 채워지다
be made up of, ~으로 구성되다
fasten, 매다 잠그다
incredible, 놀라운 믿기 어려운
modification, 변경 수정
raw material, 원자재
shortage, 부족
