argumentative, 논쟁적인 논쟁을 좋아하는
appropriately, 적절하게
infuriate, 화나게 하다
courteous, 예의 바른
inconvenience, 불편[n] ~에게 불편을 느끼게 하다[v]
specific, 구체적인
evaluation, 평가
confident, 확신하는
cause, 야기하다[v] 원인[n]
commentary, 해설 설명
interact, 소통하다 상호작용하다
certain, 확실한
commitment, 헌신 전념
applaud, 칭찬하다
biography, 약력(경력 설명된 것)
critical, 비판적인 / 중요한
depend on, ~에 달려있다/ ~에게 의존하다
priority, 우선권/우선사항
observe, 관찰하다 준수하다
defective, 결함이 있는
reflect, 반영하다
attitude, 태도
disappoint, 실망시키다
disclose, 공개하다 드러내다
politely, 공손하게
a couple of, 두개의 몇개의
athlete, 운동선수
rinse, 헹구다
counselor, 상담원
invite, 초대하다
often, 자주
unlike, ~과 달리
vivid, 생생한 선명한
attraction, 관광 명소
itinerary, 여행일정표
exotic, 이국적인 매혹적인
diverse, 다양한
superb, 최고의 뛰어난
locate, 찾아내다 위치시키다
duty, 세금 / 의무 직무
board, 탑승하다[v]  이사회[n]
comfortable, 편안한
declare, (세관에서) 신고하다
specify, 명시하다
depart, 출발하다
outgoing, (장소를)출발하는 (지위를) 떠나는
tightly,단단히 꽉
carrier, 항공사 수송기
customarily, 관례상 습관적으로
involve, 포함하다 참여시키다
fill out/in, 기입하다
customs, 세관
away, 떨어져서[adv]
dramatic, 멋진 극적인
hospitality, 환대 친절
indulge, 빠지다 탐닉하다
proximity, 가까움 근접함[n]
unlimited, 무제한의
simply, 그저 단지
besides, 게다가[adv] ~외에[prep]
traditionally, 전통적으로
border, 국경
central, 중심이 되는/ 가장 중요한
sudden, 갑작스러운
underwater, 수중의
visitor, 손님
alliance, 동맹 제휴
stipulation, 계약조건
term, 조건 / 기한
compromise, 타협 화해
agreement, 계약 합의
contract, 계약[n]  계약하다/수축하다 [v]
signature, 서명
be dedicated to, ~에 전념하다
revised, 수정된
imperative, 필수적인
cooperatively, 협력하여/ 협조적으로
commission, 수수료/위원회[n] 의뢰하다 주문하다[v]
omit, 빠트리다 생략하다
conflict, 대립 충돌
renew, 갱신하다
proficient, 능숙한
confidentiality, 기밀
dispute, 분쟁 논쟁
objection, 반대
define, 규정하다 정의하다
impression, 인상
proceed, 진행하다
narrow, (범위등을) 좁히다
settle, 해결하다
terminate, 끝내다 종결시키다
foundation, 토대 기초
pending, 미정인 임박한
borrow, 빌리다
bother, 괴롭히다
look after, ~을 보살피다
proof, 증거
climb, 오르다
deny, 부인하다
escape, 달아나다
generally, 일반적으로
loose, 헐거워진
meaning, 뜻 의미
quit, 그만두다
sight, 시야 풍경
volume, (소리)크기, 양, 책
