favor, 부탁/ 친절
Furthemore, 뿐만아니라
For instance, 예를 들어
Otherwise, 그렇지 않으면
After all, 결국에는
quote, 견적을 내다 (=estimate)
appear, 발간되다 나오다
in order to, ~하기 위해서
seasonal, 계절의
seasoned, 경험이 풍부한 / 양념이 잘 밴
factor, 요인
solicit, 간절히 요청하다 (=request)
rectify, 시정하다 바로잡다
persuade, 설득하다
secure, 안전한[adj]  확보하다[v]
withhold, 보류하다
reusable, 재사용 할 수 있는
quite, 꽤 상당히
ideally, 이상적으로
leading up to, ~의 실마리가 되다
landform, 지형
debate, 토론하다 토론
completely, 전적으로 완전히
refuse, 거절하다
temporarily, 일시적으로
bulk, 대량의
short, 부족한
commercial, 상업의[adj] 광고[n]
invoice, 송장
acquisition, 인수/ 구입한 것
assure, ~에게 보장하다/ 장담하다
subject, ~의 영향을 받기 쉬운/ (동의 등을) 조건으로 하는/ ~에게 (~을) 받게 하다
satisfactory, 만족스러운
confirmation, 확인 확증
measure, 대책 조치 수단[n]  측정하다[v]
bargain, 특가품 흥정
stock, 재고 주식
affordablility, 감당할 수 있는 비용
clientele, 고객들
acclaim, 호평
encompass, 포함하다 둘러싸다
finalize, 마무리짓다
retail, 소매
commodity, 상품 산물
consignment, 위탁 판매
conforting, 위로가 되는
export, 수출하다 수출
former, 예전의
govern, 통치하다 지배하다
import, 수입하다 수입
politician, 정치인
politics, 정치 정치학
shortly, 얼마 안 되어
periodical, 정기 간행물
earn, 벌다
corrected, 수정된
neglect, (해야 할 일을) 하지 않다
seem, (~인 하는것처럼) 보이다 / (~인)것 같다
credit, 신용/ 입금하다 
negotiate, 협의하다 / 성사시키다
verify, 확인하다
function, 모임
excite, 흥분시키다
cheapest, 저렴한
regualr, 규칙적인 정기적인ㄴ
under the supervision, ~의 지휘를 받는다 / ~관리 하에있다 
rundown, 축소 설명
under construction, 공사 중인
under control, 관리 하에
under pressure, 압박을 받고
under warranty, 보증기간 내에 있는
under different circumstances, 다른 상황일 때
under no circumstances, 어떠한 경우에도
under her leadership / direction / supervision, 그녀의 리더십 / 지도/ 감독 아래
under discussion / consideration / review , 논의 고려 검토 중인
practice, 개업하다/연습하다/실행하다[v] 개업/개인사무실/관례/관행[n]
assume, 추정하다 / 책임or채무를 떠 맡다
concentration, 집중 / 밀집
collection, 모음/ 전시/ 징수
reservation, 예약/ 주저함 의구심
edge, 끝 / 가장자리 / 장점
provide [사람] with [물건/기회],..
provide [물긴/기회] to [사람],...
a number of + 복수명사 + 복수동사, 수많은 '명사'가 주어
the number of + 복수명사 + 단수동사, 복수명사의 '숫자'가 주어
increase/decrease/improve, 자동사 타동사 모두 가능
perform, 공연하다 수행하다 시행하다 구현하다 // 자동사 타동사 모두 가능
return, 되돌아 가다[자동사] / 반납하다 반품하다[타동사]
expand, 확장하다 // 자동사 타동사
start/begin/close, // 자동사 타동사 
cutbacks, 축소 삭감
equip/furnish/outfit A with B, A에게 B를 갖추게하다
ambitious, 야망 있는
conservative, 보수적인
subtle, 미묘한 섬세한
helpul, 도움이 되는
aspiring, 야망이 있는
lower, 더 낮은[adj]  인하하다[v]
wear, 입다 착용하다[v]  마모 닳음[n]
permit, 허락하다 [v] 허가증[n]
moderate, 적당한 온화한[adj]  (회의)등을 주재하다[v]
in the event (that), ~을 대비하여 [접속사]
so that, [접속사] ~할 수 있도록
even if, ~일지라도 [접속사]
in the long run, 마침내
fortunate, 운 좋은
memorable, 기억에 남는
manipulating, 다루다 조종하다
above, ~보다 위로 / ~를 뛰어넘어
among, ~사이에
into, ~안으로
plus, ~뿐만 아니라
attractive, 매력적인
actual, 실제의
attentive, 주의를 기울이는
solution to, ~에 대한 해결
