extension, 확대
transportation, 수송
residence, 거주지
paperwork, 서류작업
expedited, 추친된 촉진된 
accept, 받아들이다
approve, 찬성하다 승인하다
curious, 궁금한
blueprint, 청사진 설계도
reserve,  예약
examination, 검사
unsure, 확신 없는
locating, 찾는 것/ 위치시키는것
attraction, 관광지
tenant, 세입자
estate, 부동산
manuscript, 원고
investment, 투자
coordinator, 책임자
college, 대학
instructor, 강사
broadcast, 방송하다
corporation, 기업
airline, 항공
advisor, 조언자 고문
approval, 찬성 승인
spacious, 넓은
travel, 여행하다 이동하다
unfamiliar, 익숙지 않은
imply, 암시하다
invitation, 초대 초대장
receptionist, 접수 담당자
badge, 배지
fragile, 꺠지기 쉬운
perishable, 부패하기 쉬운
ensure, 확실하게 하다 / 보장하다
courier, 급송 택배
carton, 판지 상자
particularly, 특히
adequately, 적절히
agency, 대행사 대리점
enclose, 동봉하다
carry, (물품을)지니다 팔다
attach, 첨부하다
formerly, 이전에
acknowledge, 인정하다 (편지등의) 수령을 알리다
caution, 주의 조심
correspondence, 편지 통신문
separate, 분리하다 분류하다 / 분리된
remarkable, 현저한 두드러진
handle, 취급하다 다루다
impose, (세금 등을) 부과하다
detach, 분리하다 떼다
exclusion, 제외 배제
recipient, 수신자
affix, (우표 등을) 붙이다
incorrect, 부정확한
olige, 어쩔수 없이 ~하게 하다/ ~에게 강요하다
distinctive, 독특한
discreet, 신중한 분별력 있는
cargo, 화물 짐
pottery, 도자기
due date, 만기일
trade, 무역
redundant, 불필요한 잉여의
lenuent, 관대한
rarely = hardly = scarcely = seldom = barely, 좀처럼 ~하지 않다
competing, (1) 경쟁하는 (2) 모순되는
silently, 조용히
outwardly, 겉으로 표면상으로
mutually, 서로
laughing,소리내어 웃다
moderately, 꽤 제법
preside, (회의등을) 주도하다
concerning, ~에 관한
regarding, ~에 관한
pertaining, ~에 관한
through, ~를 관통해서 / ~을 통해서 / ~의 기간
composed, 구성된
obtained, 획득된
serving, ~인분
serve, 음식을 제공하다
by 20percent, 20퍼센트 만큼
by a wide/narrow/margin, 큰/근소한 차이로
draft, 초안
invoice, 송장 청구서
have yet to, 아직 ~이지 못하다
distinguishable, 식별이 가능한
thus, 따라서 / 이와같이
Until, [접/전] ~할 때까지
come with, 제공하다
appointment, 약속 / 임명
accomplishment, 업적
step down, 사임하다
reactivation, 재활성화
lead to, (어떤) 결과를 초래하다
instuctional, 교육
periodic, 주기적인
preferred, 우대사항
overseas, 해외의
honored, 명예로운
enthusiast, 광팬
