compensate, 보상하다
complimentary, 무료의
container, 용기 그릇
elegant, 우아한 고상한
accommodate, 수용하다 숙박시키다 (요구조건을) 만족시키다
refreshments, 가벼운 음식물
cater, (연회 등의) 음식물을 공급하다
beverage, 음료
retain, 유지하다 보유하다
atmosphere, 분위기 / 환경
cuisine, (독특한) 요리
extensive, 넓은
amenity, 편의 시설
entirely, 완전히
ease, 완화시키다 / 쉬움[n]
ingredient, 재료 성분
sip, 음미하며 마시다 / 홀짝거리다
stir, 휘젓다 뒤섞다
complication, 복잡한 문제
occupancy, (호텔 등의) 이용률
spot, 발견하다 / 장소
spill, 엎지르다
blend, 섞다 혼합하다
decline, 감소 하락/ 거절하다 감소하다
markedly, 현저하게 두드러지게
projection, 예상치
substantial, 상당한
anticipate, 예상하다 기대하다
shift,. 옮기다 이동하다 교대근무
exceed, ~을 초과하다
improvement, 향상
typically, 보통 일반적으로
whole, 전체의 온전한
figure, 총액 합계 수
steady, 꾸준한 안정된
achieve, 달성하다 성취하다
assumption, 추정 산청
incur, (손실을)입다 / (빚을)지다
slightly,약간
reliant, 의존하는 의지하는
illustrate, 분명히 보여주다
inaccurate, 부정확한
tend, ~하는 경향이 있다 / ~하기 쉽다
beyond, ~을 넘어서 ~이상으로
gain, 얻다
income, 소득
liquid, 액체
refrigerator, 냉장고
give away, 나누어 주다
be familiar with, ~에 익숙하다
highway, 고속도로
as well, 또한
spokesperson, 대변인
lace, 끈
fair, 타당한 공정한
sick leave, 병가휴가
enrollment, 등록 입학
shorten, 단축하다
explain, 설명하다
sculptures, 조각품
prize, 상
wiring, 배선
rent, 임대료/임대[n] 빌리다/세놓다[v]
oversee, 감독하다
overseas, 해외의
earlier, 예상보다 일찍[adj]
division, 부서
commemorate, 기념하다
compartment, 객실/ (물건 보관용)칸
pharmacy, 약국
landscaping, 조경
exercise caution, 주의하다
with caution[n], (=cautiously[adj]) 신중하게
land, 땅[n] / 착륙하다 따내다[v]
be accustomed to,[전치사 to] ~에 익숙하다 
be attributed to, [전치사 to] ~에서 기인하다
be related to,  [전치사 to] ~와 관련이 있다
be limited to, [전치사 to] ~로 제한되어 있다
be exposed to, [전치사 to] ~에 노출되어 있다
be devoted/dedicated/committed to,  [전치사 to] ~에 전념하다
at the request of, ~요청에 따라
attributed, ~에 기인하다
relied, 의지하다
determined, 결정하다 알아내다
overly, 지나치게
abruptly, 갑자기 (=suddenly)
constantly, 끊임없이 (=continually)
immensely, 굉장히 매우(=extermely)
eliminate, 없애다 제거하다
competent, 능숙한
precise, 정확한 (=exact)
sound, 소리[n] 튼튼한[adj]
tentative, 잠정적인 임시적인
temporary, 일시적인 임시의
provisional, 잠정적인 임시적인
favor, 찬성 호의
ongoing, 계속 진행중인
in honor of, ~를 기념해서
in celebration of, ~를 기념해서
in commemoration of, ~을 기념해서
besides, 게다가 [전/부]
whereas, ~한 반면에[접속사]
concerning, ~에 관한
existing, 기존의
firm, 확실한 확고한
recession, 침체
downturn, 침체
depression, 침체
firmly, 확실히
firms, 회사[n] 다지다 안정되다[v]
firmness, 견고 단단함
initiated, 개시되게 하다
informative, 유익한 (강의)
attractive, 매력적인
receptive, 잘 받아들이는 수용적인
property, 부동산 건물
vital, 중요한
contradict, 반박하다 부정하다
settle, 합의하다 해결하다 결정하다
wishfully, 갈망하여
confidentially, 은밀하게
extensively, 널리 광범위하게
incrementally, 끊임없이 증가하여
substitute, 교체하다 대신하다
apprise, 알리다
mandatory, 의무적인
extingusher, 소화기
find, 벌금
janitor, 관리인
exterior, 외부의 옥외의
state,말하다 명시하다
to that end, 목표를 이루기 위해서
property, 소유지 건물
bring up, (문제를)얘기하다 제기하다
