adjacent, 가까운
departure, 출발
proceed, 진행하다 
occur, 발생하다
competent, 능숙한
precise, 정확한 (=exact)
sound, 소리[n] 튼튼한[adj]
tentative, 잠정적인 임시적인
temporary, 일시적인 임시의
provisional, 잠정적인 임시적인
favor, 찬성 호의
ongoing, 계속 진행중인
in honor of, ~를 기념해서
in celebration of, ~를 기념해서
in commemoration of, ~을 기념해서
besides, 게다가 [전/부]
whereas, ~한 반면에[접속사]
concerning, ~에 관한
existing, 기존의
firm, 확실한 확고한
recession, 침체
downturn, 침체
depression, 침체
firmly, 확실히
firms, 회사[n] 다지다 안정되다[v]
firmness, 견고 단단함
initiated, 개시되게 하다
informative, 유익한 (강의)
attractive, 매력적인
receptive, 잘 받아들이는 수용적인
property, 부동산 건물
vital, 중요한
contradict, 반박하다 부정하다
settle, 합의하다 해결하다 결정하다
wishfully, 갈망하여
confidentially, 은밀하게
extensively, 널리 광범위하게
incrementally, 끊임없이 증가하여
substitute, 교체하다 대신하다
apprise, 알리다
mandatory, 의무적인
extingusher, 소화기
find, 벌금
janitor, 관리인
exterior, 외부의 옥외의
state,말하다 명시하다
to that end, 목표를 이루기 위해서
property, 소유지 건물
bring up, (문제를)얘기하다 제기하다
