attire, 복장 / 옷차림새
concern, 걱정[n] / 걱정스러워 하다 영향을 미치다[v]
comply, 준수하다 따르다
regulation, 규정
adhere, 지키다 고수하다
severely, 엄격하게 심하게
refrain, 자제하다 삼가다
access, 권한/접근[n] 접근하다/도달하다[n]
thoroughly, 철저하게 대단히
revise, 수정하다
approach, 접근법/처리법[n]  다가오다/가까워지다[v]
approval, 승인/인가
negative, 부정적인
mandate, 명령하다[v] 권한/지시/명령[n]
effect, 효력/효과[n] 결과로서 ~을 가져오다[v]
drastically, 심하게/과감하게/철저하게
constant, 지속적인
act, 행위/법령[n]  결정하다/행동하다[v]
compensation, 보상금 보상
ban, 금지[n]  금지하다[v]
prohibit, 금지하다
abolish, 폐지하다
enforce, 시행하다/집행하다
legislation, 법률/법규
restrict, 한정하다/제한하다
bend over, 몸을 앞으로 숙이다
by oneself, 혼자 힘으로
get used to, ~에 익숙해지다
if it's okay with you, 당신만 괜찮다면
in case of, ~의 경우에는
in rows, 줄지어
legal, 법률의/합법적인
let go, 놓아주다
enough, 충분한[adj] 필요한 만큼의 수[n]
have a problem -ing, ~하는 데 문제가 있다
loudly, 시끄럽게
seldom, 드물게
theft, 절도
witness, 목격자/증인
found, 설립하다
appearance, 출현/외모
comfortable, 쾌적한
simply, 단순히
perhaps, 아마도
persistent, 끈질긴
featured, 특색을 가지게 된
comprehensive, 종합적인
experienced, 숙련된(사람)
exclusively, 독점적인/전용의
domestic, 국내의/안쪽의
number one choice, 최고의 선택
latest, 최신의
From there, 거기로부터
directed, 지시하다/전하다
Nevertheless, 그럼에도 불구하고
Unfortunately, 안타깝게도
definitely, 확실히
by -ing, ing 함으로써
shift, 교대근무
in return, 대신에
