proud, 자랑스러워하는
releasable, 석방할 수 있는
complex, 복합 건물단지[n]  복잡한[adj]
cater to, 충족하다
suit, 충족하다
in the vicinity of, 가까운
in the proximity of, 가까운
socialize, 사교하다
unveil, 출시하다 (베일을 벗기다 ㅋ)
ingredient, 성분 재료
gentle, 온화한 순한
artificial, 인공적인
substance, 물질
a variety of, 다양한
a selection of, 다양한
a range of, 다양한
an array of, 다양한
an assortment of, 다양한
various, 다양한
scientifically, 과학적으로
proven, 증명된 (prove pp)
apply, 신청하다 저적용하다 바르다 뿌리다
leash, 개목줄
scatter, 소량
patron, 고객
have + 사람 + ?, 동사원형
have + 사물 + ?, 과거 분사
house, 본거지를 두고있다 [v]
prolong, 연장하다 
prolonged, 오래된 장기적인
abandon, 버리다 버리고 떠나다
convert, 전환시키다
institute, 기관
duties, 직무 직책
resign, 사직하다
verify, 확인하다
guess, 추측하다
deliberating, 심사숙고하는
experimental, 실험적인
terrific, 훌륭한 엄청난
omit,빠트리다 생략하다
proprietor, 자영업자
verify, 확인하다
intact, 온전한 완벽한
compatible, (물건과)호환이 되다/ (사람 성격이) 넉살이 좋다
regret, 후회하다 유감스럽다
truly, 정말로 진짜로 (true)
interaction, 상호작용
occastion, 행사 
succeed, 후임으로 오다
successor, 후임자
predecessor, 전임자
agenda, 안건
convene, (회원등이)모이다/(회의가) 개최되다
refute, 부인하다 반박하다
coordination, 조정
unanimous, 만장일치의 동의하는
convince, 납득시키다 확신시키다
consensus, 여론 일치된 의견
defer, 연기하다 미루다
phase, 단계
object, 반대하다
coincidentally, 우연히/동시 발생적으로
undergo, 겪다 경험하다
outcome, 결과
narrowly, 주의깊게 가까스로
differ, 의견을 달리하다/다르다
brief, ~에게 간단히 설명하다/브리핑하다
distract, (주의를)산만하게 하다
emphasis, 강조 중점
press, 언론[n]  누르다[v]
persuasive, 설득력있는
adjourn, (회의등을) 휴회하다
preside, 사회를 보다
irrelevant,관계가 없는/ 무관한
constraint, 제한
condensed, 요약한 압축한
endorse, (공개적으로)지지하다 보증하다
punctually, 제시간에/ 늦지않게
