congestion, 교통 체증 / 혼잡
alleviate, 완화하다
divert, 우회시키다
detour, 우회
fuel, 연료
malfuntion, 오작동
ontain, 얻다
intersection, 교차로
downtown, 시내에서
official, 공무원 / 공식적인
fare, 교통요금
head, (~의 방향으로) 나아가다
securely, (매듭 등이) 단단하게
prominently, 눈에 잘 띄게
collision, 충돌
tow, (차를) 견인하다
obstruct,(전망을) 가리다/ (도로등을) 막다
on foot, 걸어서
cite, 언급하다
sharp, 뾰족한
solve, 해결하다
delinquent, (세금 등이) 연체된
overdue, 지불 기한이 넘은
regrettably, 유감스럽게도
balance, 잔고
deposit, 입금하다
investigation, 조사
statement, 명세서
withdrawal, 인출
due, (지불기한이)만기된 
in common, 공통으로
interest, 관심 권리 이자
tentatively, 임시로 시험적으로
attentive, 주의깊은
payable, 지불해야 하는
at the earliest, 아무리 빨라도
in short, 요컨대
