lucrative, 수익성 있는
inherently, 본질적으로
foreseeable, 예견할 수 있는
innate, 타고난
property, 재산
lease, 임대 계약
consent of, 동의 허락
gratitude, 고마움 감사
consult, 상의하다 상담하다
partially, 부분적으로 일부분은
evident, 분명한 명백한
reliability, 신뢰도
insight, 통찰력
speculation, 추측
solely, 전적으로
entrepreneur, 사업가
eventually, 결국
shareholder, 주주
outlook, 전망
stability, 안정
bond, 채권
depreciation, 가치 하락
prevalent, 유행하고 있는 널리퍼진
unprecedented, 전례없는
yield, (이윤을) 가져오다  산출하다
comfort, 위로하다
distance, 거리
risky, 위험한
somewhat, 다소 
furnished, 가구가 비치된
spacious, 넓은
drape, (방을 커튼으로) 장식하다
unoccupied, (집 등이) 비어있는
presently, 현재
abandom, 버리다 그만두다
contractor, 계약자
densely, 빽빽히 밀집하여
district, 지역 
compulsory, 의무적인
interfere, 방해하다  해치다
totally, 완전히 전적으로
enlarge, 확장하다 확대하다
suppose, 생각하다 추측하다
permanent, 영구적인
adjacent, 인접한
consist, 구성되다 이루어지다
utility, 공공시설 공공요금
ceiling, 천장
garage, 차고
dwell, 거주하다
inhabit, 거주하다
urban, 도시의 (=! rural)
