accustomed, 익숙한
corporation, 주식회사/법인
demanding, 까다로운/요구가 많은/힘든
division, 부서
efficiently, 효율적으로
directly, 곧바로
instruct, 지시하다 가르치다
sample, 샘플[n] 시식하다/시험하다[v]
perform, 실행하다/행하다
monitor, 감독하다/감시하다/검토하다
deserve, ~할 만하다/ ~할 가치가 있다
assignment, 일/임무/과제
entire, 전체의
release, 발표하다/공개하다[v]  출시/발매[n]
extension, 연장/연기/내선
electronically, 검퓨터로/컴퓨터 통신망으로
attendance, 출근/출석
delegate, 위임하다[v]  대표[n]
attentively, 주의깊게/조심스럽게
draw, 끌다/끌어당기다
revision, 수정
reluctantly, 마지못해/꺼려하며
acquaint, ~에게 숙지시키다/ 잘 알게 하다
convey, (용건을) 전달하다
file, (서류를)정리하다/철하다/ 정식으로 제기하다/ 제출하다
oversee, 감독하다
involved, 관여하는/ 관계된/ 연루된
concentrate, 집중하다/ 집중시키다
a sheet of, ~한 장
paper jam, (복사기에서의) 종이 걸림
trash bin, 쓰레기통
upstairs, 위층의[adj] 위층으로/위층에[adv]
as if, 마치~ 인 듯이
as well as, ~에 더하여/게다가
be known as, ~으로 알려져 있다
be likely to, ~할 가능성이 있다
offering, 제공된 것
on one's own, 혼자서/혼자 힘으로
certainly, 그럼요/ 물론이지요/ 틀림없이
rebate, 환불
appointment, 약속/임명
learn, 배우다/알게되다
excuses, 변명
introduce, 소개하다
encourage, 장려하다
supplement, 보충물
climate, 기후
rarely, 거의 ~ 않다 (=hardly)
stop, 잠시 머무름/ 방문지 [n]
year round, 1년 내내
below, 아래에
participant, 참가자
optain, 얻다
as you know, 아시다시피
a series of, 연속적인
describe, 말하다/서술하다/설명하다
so far, 지금까지
bookkeeping, 장부 정리
host, 개최하다
once, ~하자마자
let you know, 당신에게 알려주다
possess, 소유하다 (=have)
a bit, 약간
one year after, 일년 후에
improvement, 개선
urban, 도시
commission, 위원회[n]  (수수료 등을 주고)위임하다[v]
significant, 상당한/중요한
repave, 다시 포장하다
pathway, 보도/ 진료
exercise, 운동
in-person, 직접하는 / 실제로 하는
throughout, 전역에/도처에
alteration, 변경
available + 장소, 장소에서 구할 수 있는
finding, 결과
prior to, ~이전에 [전치사]
poor, 형편없는/가난한
ever since, ~이래로 줄곧
see, 보다/겪다
in particular, 특히
elderly, 고령의
public transit, 대중 교통
existing, 기존의
by 동명사, ~함으로써
demonstration, 시연
vulnerable, 취약한/공격받기 쉬운
establishment, 설립/기관
assess, 평가하다
illegal, 불법적인
come through, 거치다/거쳐오다
look forward to do, ~을 기대하다
decent, 적당한
practicality, 실용성/ 실현 가능성
practical, 실용적인
full strength, 전력 / 총력
symbolism, 상징성
seek, 구하다
