morale, 사기
undertake, 착수하다/(일을) 떠맡다
diminish, 줄어들다 줄이다
as a result, 결과적으로
exaggerate, 과장하다
undertaking, 프로젝트 / 일
based on, ~에 근거하여
approximate, 대략적인 거의정확한
lax, 느슨한/ 규율에 못 미치는
procrastinate, 미루다/꾸물거리다
combined, 결합된/합동의
accomplish, 성취하다
voluntarily, 자발적으로
assume, (증거는 없으나) 사실이라고 생각하다/ (책임 역할을)맡다
occasionally, 가끔/때때로
manner, 방식/태도
responsible, 책임이 있는/ 책임져야 할
conduct, 수행하다
adjust, 적응하다
direct, ~에게 길을 안내하다/ 가르쳐 주다
confidential, 기밀의
assign, 배정하다/할당하다
leading, 선두적인/ 가장중요한
formal, 격식을 갖춘
coordinate, 조정하다
accountable, 책임이 있는
intention, 의지/의향
duplicate, 사본
contrary, 반대
disturbing, 충격적인/불안감을 주는/ 방해하는
engage, 관여하다/종사하다
foster, 촉진하다/육성하다
neutrality, 중립성/중립
externally, 외부에서/외부적으로
least, 가장 작은/ 가장 적은
