in that case    ,     그렇다면
residence    ,     주택 거주지
achievement    ,     성취 달성
impressed    ,     인상깊게 생각하는 (사람)
identify    ,     알아보다 확인하다
associate    ,     관련시키다
diligent    ,     성실한
proficiency    ,     숙달 능숙
apprehensive    ,     걱정하는 염려하는
entitle    ,     자격을 주다
recruit    ,     모집하다
occupation    ,     직업
in fact    ,     사실은
secretary    ,     비서
apply for    ,     ~에 지원하다
attire    ,     복장 / 옷차림새
severely    ,     엄격하게 심하게
compensation    ,     보상금 보상
appearance    ,     출현/외모
persistent    ,     끈질긴
comprehensive    ,     종합적인
efficiently    ,     효율적으로
instruct    ,     지시하다 가르치다
perform    ,     실행하다/행하다
assignment    ,     일/임무/과제
extension    ,     연장/연기/내선
delegate    ,     위임하다[v]  대표[n]
attentively    ,     주의깊게/조심스럽게
reluctantly    ,     마지못해/꺼려하며
acquaint    ,     ~에게 숙지시키다/ 잘 알게 하다
as if    ,     마치~ 인 듯이
certainly    ,     그럼요/ 물론이지요/ 틀림없이
below    ,     아래에
significant    ,     상당한/중요한
throughout    ,     전역에/도처에
in particular    ,     특히
vulnerable    ,     취약한/공격받기 쉬운
assess    ,     평가하다
look forward to do    ,     ~을 기대하다
decent    ,     적당한
seek    ,     구하다
morale    ,     사기/의욕
diminish    ,     줄어들다 줄이다
exaggerate    ,     과장하다
approximate    ,     대략적인 거의정확한
procrastinate    ,     미루다/꾸물거리다
accomplish    ,     성취하다
voluntarily    ,     자발적으로
assume    ,     (증거는 없으나) 사실이라고 생각하다/ (책임 역할을)맡다
responsible    ,     책임이 있는/ 책임져야 할
direct    ,     ~에게 길을 안내하다/ 가르쳐 주다
assign    ,     배정하다/할당하다
accountable    ,     책임이 있는
contrary    ,     반대
disturbing    ,     충격적인/불안감을 주는/ 방해하는
neutrality    ,     중립성/중립
externally    ,     외부에서/외부적으로
sophisticated    ,     (기계가)정교한/ 복잡한/ 세련된
implement    ,     실시하다/ 실행하다
outstanding    ,     우수한/ (부채 등이) 미지불된
permanently    ,     영구적으로/ 불변으로
fulfill    ,     (조건을) 만족시키다/ (약속의무를) 지키다/ 이행하다 
outline    ,     개요 [n] 설명하다[v]
complie    ,     편집하다 모으다
subsequnt    ,     차후의 그 다음의
overview    ,     개요 개관
expertise    ,     전문지식/ 전문기술
remainder    ,     나머지
compliance    ,     준수
clarify    ,     명확하게 하다
aspect    ,     관점 국면
apparently    ,     보기에 ~ 한 듯한/ 외관상으로는
aware    ,     알고있는 인식하고 있는
advisable    ,     바람직한 합당한
come over    ,     방문하다/ 오다
conceal    ,     감추다
correct    ,     맞는 정정하다
emprace    ,     받아들이다/ 포용하다
cosmetic    ,     화장품
on behalf of    ,     ~을 대표하여
remaining    ,     남아있는
following    ,     다음의 [adj] ~후에 [전치사]
outskirt    ,     변두리 / 교외
profitable    ,     수익성이 좋은
eliminate    ,     제거하다
bid    ,     입찰
quite a few    ,     상당수
put up    ,     (건물등을)세우다 (=set up / establish)
raise    ,     올리다/ (문제를) 제기하다
go through    ,     겪다
