cordially, 정중히
boasts, 자랑하다 뽐내다
for sale, 판매 중
near, 근처에[전치사]  (시간거리상) 가까워지다[동사]
on sale, 할인 중
persuade, 설득하다
on hand, 구할 수 있는/ 얻을 수 있는
refer to, 참고하다 (=consult)
day off, 휴가
provide 누구에게 with 무엇을, ..
implied, 암시된 것
refreshment, 가벼운 식사or음식
bring, 가져오다 데려오디
especially, 특히
declare, 선언하다
deposit, 보증금[n] 예금하다 예치하다[v]
expiration, 만료
expire, 만료되다 
belongings, 개인 소지품
assorted, 여러가지의
souvenir, 기념품
reroute, 경로를 변경하다
depart from, ~에서 출발하다
severe weather, 험한 날씨
infer, 추론하다
rest, 쉬다[v] 휴식/나머지[n]
exhibition, 전시회
improvise, 즉흥적으로 하다
alumni, 동창생들 / 졸업생들 [n] 복수명사
present, 제시하다[v]  현재의 / 참석한[adj]
admission, 입장
banquet, 연회 만찬
anniversary, 기념일
fund-raising, 모금
resume, 이력서[n]  재개하다/다시 시작하다[v]
appear, 나타나다 출현하다
accompany, 동행하다 동반하다
specifically, 명확하게 분명히
anonymous, 익명의 
commit, 헌신하다 전념하다
informative, 유익한 / 정보를 주는
audience, 관중
antique, 골동품
manuscript, 원고
lend, 빌려주다
advocate, 옹호자
defy, 저항하다 / (설명 묘사 등이) 거의 불가능하다
fascinating, 매혹적인 황홀한
cabin, 조종실 통나무집
lawn, 잔디 잔디밭
care for, ~을 돌보다/ ~을 좋아하다
leisure, 여가
sightseeing, 관광
