tap water, 수돗물
dozer, 12개
contaminant, (=pollutants) 오염 물질
outrageous, 엄청난
end up -ing, 결국 ~하게 되다
fortune, 거금
save 누구에게 money, ~에게 돈을 아껴주다
retail chain, 소매점
be supposed to do , ~하기로 되어 있다
take leave, (휴가를) 떠나다
so that + can/may/will, ~할 수 있도록
complimentary, (=free)
foreign, 외국의 / 대외의
mow, (풀 등을) 베다
apparently, 보아하니
typically, 대체로 전형적으로
respondent, 응답자
monopoly, 독점/ 전매
compete for, ~을 두고 경쟁하다
demand, 수요[n] 요구하다[v]
do one's utmost, 전력을 다하다
advanced, 고급의/ 진보한
postpone, 연기하다
appreciate, 고맙게 생각하다 / 높이 평가하다/ 감상하다
examine, 조사하다
closely, 면밀히 엄밀히
reserve, 예약하다 / 보존하다
cooperate, 협력하다
consecutive, 연속적인
publicize, 공표하다 광고하다
probable, 개연성이 높은 / 유망한
seasonal, 계절의
comparison, 비교
mounting, 증가하는 오르는
after all, 결국
at it is, 있는 그대로
concrete, 구체적인
conflict with, ~과 상충되다
attempt, 시도하다[v] / 시도[n]
conclude, 결론을 내리다
informal, 격식에 얽매이지 않는 / 편안한
strict, 엄격한
typical, 전형적인/ 대표적인
