marginal, 약간의 주변의
influence, 영향[n] ~에 영향을 주다[v]
instantly, 즉시 즉각적으로
aggressively, 적극적으로
strategy, 전략
attract, 끌다 유인하다
introduce, 소개하다 발표하다
advise, 조언하다 충고하다
subscribe, 구독하다
adsence, 부재 결근 결석
prefer, (다른것보다) ~을 더 좋아하다 / 선호하다
forward, 앞으로
contemporary, 동시대의/ 현대의
discussion, 토론
initial, 처음의
steadily, 착실하게 꾸준히
resolve, 해결하다
intensify, 강화하다
favorably, 호의적으로 / 순조롭게
cover, 포함하다 / 지불하다 / 덮다
majority, 대부분 대다수
adopt, 채택하다
largely, 주로 대부분
disregard, 소홀히 하다/ 무시하다
mastermind, (계획등의)입안자 / 지도자
curious, 호기심 많은
drop by, 잠깐 들르다
for now, 우선은 / 당분간은
shovel, (눈을)치우다 삽질하다[v] 삽[n]
belief, 신념 믿음
belong to, ~에 속하다 / ~의 소유물이다
entry fee, 참가비용
experiment, 실험
findings, 조사결과
obviously, 명백하게
primarily, 주로 / 원래
stagnant, 침체된 불경기의
brisk, 활발한 호황의
unstable, 불안정한 / 변하기 쉬운
repidly, 급속히 / 빨리
soar, (물가등이) 폭등하다 / 높이 치솟다
assert, 단언하다 / 주장하다
costly, 비용이 많이드는 / 손실이 큰
particular, 특정한
drastic, 과감한 / 급격한
evenly, 고르게 / 균등하게
evidence, 증거
fall, (가치가) 하락하다
period, 기간 시기
indicator, 지표 / 지수
likely, ~할 것 같은
boom, 호황
substitute, 대용품[n]  대신하다[v]
consequence, 결과
fairly, 상당히 / 꽤
thrive, 번영하다 성공하다
implication, 영향 / 밀접한 관계
wane, 감소
prosperity, 번영
depression, 불황
dwindle, 줄어들다 감소되다
impede, 저해하다 방해하다
promising, 유망한 / 전망이 좋은
adversity, 역경 / 불운
cast, 던지다 / 드리우다
plenty, 풍부한
contribution to, ~에 대한 기여
formally, 정식으로 / 공식적으로
optimistic, 낙관적인
overall, 전반적인 총체적인
situation, 상황
strengthen, 강화하다
